country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Armenia,1990,male,35-54 years,25,332700,7.51,Armenia1990,0.632,"2,256,838,858",756,Silent
Armenia,1990,male,75+ years,2,26900,7.43,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,male,55-74 years,11,183800,5.98,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,male,25-34 years,16,307100,5.21,Armenia1990,0.632,"2,256,838,858",756,Boomers
Armenia,1990,female,35-54 years,15,358000,4.19,Armenia1990,0.632,"2,256,838,858",756,Silent
Armenia,1990,male,15-24 years,10,272500,3.67,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1990,female,55-74 years,6,224100,2.68,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,female,75+ years,1,48900,2.04,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,female,25-34 years,4,320700,1.25,Armenia1990,0.632,"2,256,838,858",756,Boomers
Armenia,1990,female,15-24 years,3,258500,1.16,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1990,female,5-14 years,0,316900,0.0,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1990,male,5-14 years,0,333600,0.0,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1991,male,75+ years,5,28800,17.36,Armenia1991,,"2,068,526,522",640,G.I. Generation
Armenia,1991,male,25-34 years,20,313800,6.37,Armenia1991,,"2,068,526,522",640,Boomers
Armenia,1991,female,55-74 years,11,247900,4.44,Armenia1991,,"2,068,526,522",640,Silent
Armenia,1991,male,55-74 years,9,203100,4.43,Armenia1991,,"2,068,526,522",640,Silent
Armenia,1991,male,35-54 years,14,348500,4.02,Armenia1991,,"2,068,526,522",640,Boomers
Armenia,1991,female,75+ years,2,52900,3.78,Armenia1991,,"2,068,526,522",640,G.I. Generation
Armenia,1991,female,35-54 years,9,396300,2.27,Armenia1991,,"2,068,526,522",640,Boomers
Armenia,1991,male,15-24 years,6,295300,2.03,Armenia1991,,"2,068,526,522",640,Generation X
Armenia,1991,female,25-34 years,4,342100,1.17,Armenia1991,,"2,068,526,522",640,Boomers
Armenia,1991,female,15-24 years,0,286400,0.0,Armenia1991,,"2,068,526,522",640,Generation X
Armenia,1991,female,5-14 years,0,349500,0.0,Armenia1991,,"2,068,526,522",640,Millenials
Armenia,1991,male,5-14 years,0,366200,0.0,Armenia1991,,"2,068,526,522",640,Millenials
Armenia,1992,male,75+ years,3,28200,10.64,Armenia1992,,"1,272,577,456",385,G.I. Generation
Armenia,1992,male,55-74 years,15,215100,6.97,Armenia1992,,"1,272,577,456",385,Silent
Armenia,1992,male,35-54 years,22,360400,6.1,Armenia1992,,"1,272,577,456",385,Boomers
Armenia,1992,male,25-34 years,15,312600,4.8,Armenia1992,,"1,272,577,456",385,Boomers
Armenia,1992,female,55-74 years,10,263400,3.8,Armenia1992,,"1,272,577,456",385,Silent
Armenia,1992,female,75+ years,2,53400,3.75,Armenia1992,,"1,272,577,456",385,G.I. Generation
Armenia,1992,male,15-24 years,9,300300,3.0,Armenia1992,,"1,272,577,456",385,Generation X
Armenia,1992,female,35-54 years,6,410800,1.46,Armenia1992,,"1,272,577,456",385,Boomers
Armenia,1992,female,15-24 years,1,290100,0.34,Armenia1992,,"1,272,577,456",385,Generation X
Armenia,1992,female,25-34 years,0,340900,0.0,Armenia1992,,"1,272,577,456",385,Boomers
Armenia,1992,female,5-14 years,0,358200,0.0,Armenia1992,,"1,272,577,456",385,Millenials
Armenia,1992,male,5-14 years,0,375300,0.0,Armenia1992,,"1,272,577,456",385,Millenials
Armenia,1993,female,75+ years,6,53100,11.3,Armenia1993,,"1,201,313,201",357,G.I. Generation
Armenia,1993,male,55-74 years,20,226400,8.83,Armenia1993,,"1,201,313,201",357,Silent
Armenia,1993,male,75+ years,2,28400,7.04,Armenia1993,,"1,201,313,201",357,G.I. Generation
Armenia,1993,male,35-54 years,25,371900,6.72,Armenia1993,,"1,201,313,201",357,Boomers
Armenia,1993,male,25-34 years,17,305600,5.56,Armenia1993,,"1,201,313,201",357,Boomers
Armenia,1993,female,55-74 years,14,276100,5.07,Armenia1993,,"1,201,313,201",357,Silent
Armenia,1993,male,15-24 years,7,304800,2.3,Armenia1993,,"1,201,313,201",357,Generation X
Armenia,1993,female,25-34 years,6,335900,1.79,Armenia1993,,"1,201,313,201",357,Boomers
Armenia,1993,female,35-54 years,6,424000,1.42,Armenia1993,,"1,201,313,201",357,Boomers
Armenia,1993,female,15-24 years,3,293900,1.02,Armenia1993,,"1,201,313,201",357,Generation X
Armenia,1993,female,5-14 years,0,364200,0.0,Armenia1993,,"1,201,313,201",357,Millenials
Armenia,1993,male,5-14 years,0,382300,0.0,Armenia1993,,"1,201,313,201",357,Millenials
Armenia,1994,male,75+ years,7,28200,24.82,Armenia1994,,"1,315,158,670",387,G.I. Generation
Armenia,1994,female,75+ years,5,51700,9.67,Armenia1994,,"1,315,158,670",387,G.I. Generation
Armenia,1994,male,55-74 years,20,235500,8.49,Armenia1994,,"1,315,158,670",387,Silent
Armenia,1994,male,35-54 years,31,382500,8.1,Armenia1994,,"1,315,158,670",387,Boomers
Armenia,1994,female,55-74 years,18,286000,6.29,Armenia1994,,"1,315,158,670",387,Silent
Armenia,1994,male,25-34 years,10,297000,3.37,Armenia1994,,"1,315,158,670",387,Boomers
